county,total_votes,rep_votes,dem_votes,rep_percentage,dem_percentage,Party
"Aurora County, South Dakota",1405,1052,317,0.7487544483985765,0.22562277580071174,0
"Aurora, Maine",72,42,29,0.5833333333333334,0.4027777777777778,0
"Austin County, Texas",14554,11447,2951,0.7865191699876323,0.20276212725024048,0
"Autauga County, Alabama",27770,19838,7503,0.714368023046453,0.27018365142239825,0
"Avery County, North Carolina",9458,7172,2191,0.7582998519771622,0.23165574117149504,0
"Avon, Connecticut",11987,4469,7299,0.3728205556019021,0.6089096521231334,1
"Avon, Maine",263,164,96,0.623574144486692,0.3650190114068441,0
"Avon, Massachusetts",2697,1030,1601,0.38190582128290695,0.5936225435669262,1
"Avoyelles Parish, Louisiana",17292,12028,4979,0.6955817719176498,0.28793661808928983,0
"Ayer, Massachusetts",4625,1537,2932,0.33232432432432435,0.633945945945946,1
"Baca County, Colorado",2225,1867,317,0.8391011235955056,0.14247191011235955,0
"Bacon County, Georgia",4667,4017,625,0.8607242339832869,0.13391900578530105,0
"Bailey County, Texas",1860,1434,409,0.7709677419354839,0.21989247311827956,0
"Baileyville, Maine",673,421,239,0.62555720653789,0.3551263001485884,0
"Baker County, Florida",14059,11911,2037,0.8472153069208336,0.14488939469379045,0
"Baker County, Georgia",1555,897,652,0.5768488745980708,0.4192926045016077,0
"Baker County, Oregon",9932,7352,2346,0.7402335884011276,0.23620620217478855,0
"Bakersfield, Vermont",696,272,395,0.39080459770114945,0.5675287356321839,1
"Baldwin County, Alabama",109679,83544,24578,0.7617137282433283,0.22409029987509005,0
"Baldwin County, Georgia",18251,8903,9140,0.48780888718426385,0.500794477014958,1
"Baldwin, Maine",999,623,350,0.6236236236236237,0.35035035035035034,0
"Ballard County, Kentucky",4225,3356,825,0.7943195266272189,0.1952662721893491,0
"Baltimore County, Maryland",414932,146202,258409,0.3523517106417437,0.6227743341077574,1
"Baltimore city, Maryland",237461,25374,207260,0.10685544152513465,0.8728170099511078,1
"Baltimore, Vermont",143,72,63,0.5034965034965035,0.4405594405594406,0
"Bamberg County, South Carolina",6482,2417,4010,0.3728787411292811,0.6186362233878433,1
"Bandera County, Texas",12715,10057,2505,0.7909555642941408,0.19701140385371607,0
"Bangor, Maine",16173,6065,9452,0.37500772893093426,0.5844308415260001,1
"Banks County, Georgia",8801,7795,932,0.885694807408249,0.1058970571525963,0
"Banner County, Nebraska",411,362,43,0.8807785888077859,0.10462287104622871,0
"Bannock County, Idaho",39553,23331,14682,0.5898667610547872,0.37119813920562283,0
"Bar Harbor, Maine",3576,804,2678,0.22483221476510068,0.7488814317673378,1
"Baraga County, Michigan",4038,2512,1478,0.6220901436354631,0.3660227835562159,0
"Barber County, Kansas",2313,1992,284,0.8612191958495461,0.12278426286208387,0
"Barbour County, Alabama",10518,5622,4816,0.5345122646891044,0.45788172656398557,0
"Barbour County, West Virginia",6677,5116,1457,0.7662123708252209,0.21821177175378165,0
"Baring Plt., Maine",112,68,42,0.6071428571428571,0.375,0
"Barkhamsted, Connecticut",2442,1228,1154,0.5028665028665029,0.4725634725634726,0
"Barnard, Vermont",669,177,465,0.2645739910313901,0.695067264573991,1
"Barnes County, North Dakota",5565,3568,1820,0.6411500449236298,0.3270440251572327,0
"Barnet, Vermont",1095,437,624,0.39908675799086757,0.5698630136986301,1
"Barnstable, Massachusetts",28427,11436,16491,0.4022935941182678,0.5801174939318253,1
"Barnstead, New Hampshire",2922,1698,1150,0.5811088295687885,0.3935660506502396,0
